OBJECTID_1,STATION_ID,COUNTY,LATITUDE,LONGITUDE,ATIS_ID,SE_ANNO_CAD_DATA,LINE_CODE,LAYER,MUNICIPALITY,RAIL_SERVICE,ADA,LINE_NAME,RAIL_SERVICE_NAME,x,y
24,Somerville,Somerset,40.56607,-74.61397,139,System.Byte[],RV,STATIONS,Somerville,RV,YES,Raritan Valley Line,Raritan Valley Line,460462.84434133,631137.845231742
25,Cranford,Union,40.65557,-74.30288,32,System.Byte[],RV,STATIONS,Cranford Twp,RV,YES,Raritan Valley Line,Raritan Valley Line,546814.145391662,663781.679878324
26,Basking Ridge,Somerset,40.71141,-74.55527,12,System.Byte[],GL,STATIONS,Bernards Twp,GL,NO,Gladstone Branch,Gladstone Branch,476803.208970245,684065.082224824
27,Mount Olive,Morris,40.90738,-74.73065,94,System.Byte[],ME,STATIONS,Mt Olive Twp,"ME, MC",YES,Morristown Line,"Morristown Line, Montclair-Boonton Line",428376.442963079,755539.676808156
28,Montclair Heights,Essex,40.85754,-74.20249,90,System.Byte[],MC,STATIONS,Montclair Twp,MC,YES,Montclair-Boonton Line,Montclair-Boonton Line,574416.340515245,737437.27567707
29,Mountain Avenue,Essex,40.84872,-74.2053,96,System.Byte[],MC,STATIONS,Montclair Twp,MC,NO,Montclair-Boonton Line,Montclair-Boonton Line,573648.685226411,734222.470098823
30,Watsessing,Essex,40.78271,-74.19844,155,System.Byte[],MC,STATIONS,Bloomfield Twp,MC,NO,Montclair-Boonton Line,Montclair-Boonton Line,575629.237039577,710180.789507739
31,30th Street Station,"Philadelphia, PA",39.95657,-75.18232,1,System.Byte[],AC,STATIONS,Philadelphia,AC,YES,Atlantic City Line,Atlantic City Line,300860.324636247,409826.927618235
32,Ramsey,Bergen,41.05691,-74.14205,129,System.Byte[],ML,STATIONS,Ramsey,"ML, BC",YES,Main Line,"Main Line, Bergen County Line",590836.337202746,810130.550893903
33,Allendale,Bergen,41.03094,-74.13099,3,System.Byte[],ML,STATIONS,Allendale,"ML, BC",NO,Main Line,"Main Line, Bergen County Line",593927.715534411,800682.36145699
34,Radburn,Bergen,40.93992,-74.12161,127,System.Byte[],BC,STATIONS,Fair Lawn,BC,NO,Bergen County Line,Bergen County Line,596658.777985662,767534.765022658
35,Park Ridge,Bergen,41.03231,-74.03616,115,System.Byte[],PV,STATIONS,Park Ridge,PV,NO,Pascack Valley Line,Pascack Valley Line,620085.473258164,801308.642684735
36,Princeton Jct.,Mercer,40.31632,-74.62375,126,System.Byte[],NE,STATIONS,West Windsor Twp,"NE, PRIN",YES,Northeast Corridor,"Northeast Corridor, Princeton Dinky",457618.489137661,540160.405139737
37,Salisbury Mills-Cornwall,"Orange, NY",41.43708,-74.10187,136,System.Byte[],ST,STATIONS,"Cornwall, Town Of",ST,YES,Southern Tier,Port Jervis Line,601282.336651914,948688.116625987
38,Annandale,Hunterdon,40.64517,-74.87852,6,System.Byte[],RV,STATIONS,Clinton Twp,RV,NO,Raritan Valley Line,Raritan Valley Line,387091.500598747,660158.777675323
39,Hoboken Terminal,Hudson,40.73485,-74.02804,62,System.Byte[],ME,STATIONS,Hoboken,"ME, GL, MC, ML, BC, PV",YES,Morristown Line,"Morristown Line, Gladstone Branch, Montclair-Boonton Line, Main Line, Bergen County Line, Pascack Valley Line",622909.883947913,692950.812484823
40,Wesmont,Bergen,40.85498,-74.09695,43599,System.Byte[],BC,STATIONS,Wood-Ridge,BC,YES,Bergen County Line,Bergen County Line,603612.264734831,736619.244504735
41,Dover,Morris,40.88342,-74.55581,35,System.Byte[],ME,STATIONS,Dover,"ME, MC",YES,Morristown Line,"Morristown Line, Montclair-Boonton Line",476695.288254328,746731.236747906
42,Hawthorne,Passaic,40.94254,-74.15241,57,System.Byte[],ML,STATIONS,Hawthorne,ML,NO,Main Line,Main Line,588144.077167328,768452.998750485
