OBJECTID_1,STATION_ID,COUNTY,LATITUDE,LONGITUDE,ATIS_ID,SE_ANNO_CAD_DATA,LINE_CODE,LAYER,MUNICIPALITY,RAIL_SERVICE,ADA,LINE_NAME,RAIL_SERVICE_NAME,x,y
104,High Bridge,Hunterdon,40.66689,-74.89586,59,System.Byte[],RV,STATIONS,High Bridge,RV,NO,Raritan Valley Line,Raritan Valley Line,382317.769004494,668089.081040405
105,Raritan,Somerset,40.57099,-74.63437,130,System.Byte[],RV,STATIONS,Raritan,RV,NO,Raritan Valley Line,Raritan Valley Line,454800.034800828,632938.637561902
106,Bound Brook,Somerset,40.56093,-74.53061,21,System.Byte[],RV,STATIONS,Bound Brook,RV,NO,Raritan Valley Line,Raritan Valley Line,483620.067055661,629245.012075156
107,Gladstone,Somerset,40.72006,-74.66607,49,System.Byte[],GL,STATIONS,Gladstone,GL,YES,Gladstone Branch,Gladstone Branch,446095.023667578,687255.772037655
108,Summit,Union,40.71654,-74.35775,146,System.Byte[],ME,STATIONS,Summit,"ME, GL",YES,Morristown Line,"Morristown Line, Gladstone Branch",531554.63129133,685961.929152906
109,Mountain Station,Essex,40.75542,-74.25299,98,System.Byte[],ME,STATIONS,South Orange Twp,"ME, GL",NO,Morristown Line,"Morristown Line, Gladstone Branch",560553.995536581,700189.911523655
110,Highland Avenue,Essex,40.76688,-74.24372,60,System.Byte[],ME,STATIONS,City Of Orange Twp,"ME, GL",NO,Morristown Line,"Morristown Line, Gladstone Branch",563107.466151413,704374.36837782
111,Madison,Morris,40.75707,-74.41513,77,System.Byte[],ME,STATIONS,Madison,ME,YES,Morristown Line,Morristown Line,515635.45053133,700708.043361403
112,Upper Montclair,Essex,40.84202,-74.20936,151,System.Byte[],MC,STATIONS,Montclair Twp,MC,NO,Montclair-Boonton Line,Montclair-Boonton Line,572534.997821245,731775.037001573
113,Glen Ridge,Essex,40.80059,-74.20465,50,System.Byte[],MC,STATIONS,Glen Ridge,MC,NO,Montclair-Boonton Line,Montclair-Boonton Line,573889.845177162,716688.455626242
114,Cherry Hill,Camden,39.92845,-75.04166,28,System.Byte[],AC,STATIONS,Cherry Hill Twp,AC,YES,Atlantic City Line,Atlantic City Line,340228.794127494,399314.03919524
115,Passaic,Passaic,40.84943,-74.13393,116,System.Byte[],ML,STATIONS,Passaic,ML,NO,Main Line,Main Line,593391.349153079,734555.360181071
116,Lyndhurst,Bergen,40.8141225,-74.12274657,75,System.Byte[],ML,STATIONS,Lyndhurst Twp,ML,YES,Main Line,Main Line,596541.25919183,721704.667706653
117,Spring Valley,"Rockland, NY",41.11197,-74.04399,143,System.Byte[],PV,STATIONS,Spring Valley,PV,YES,Pascack Valley Line,Pascack Valley Line,617772.635036077,830319.153889321
118,Wood-Ridge,Bergen,40.84387,-74.07879,160,System.Byte[],PV,STATIONS,Wood-Ridge,PV,NO,Pascack Valley Line,Pascack Valley Line,608654.193955414,732596.656749405
119,Metuchen,Middlesex,40.54077,-74.36042,85,System.Byte[],NE,STATIONS,Metuchen,NE,YES,Northeast Corridor,Northeast Corridor Line,530917.190308996,621931.36397282
120,Campbell Hall,"Orange, NY",41.45103,-74.2664,26,System.Byte[],ST,STATIONS,"Hamptonburgh, Town Of",ST,YES,Southern Tier,Port Jervis Line,556159.696254328,953605.44537399
121,Tuxedo,"Orange, NY",41.19419,-74.18511,150,System.Byte[],ST,STATIONS,"Tuxedo, Town Of",ST,NO,Southern Tier,Port Jervis Line,578782.301599577,860100.477200575
122,Union,Union,40.68377,-74.23843,RAIL0166,System.Byte[],LV,STATIONS,Union Twp,RV,YES,Lehigh Valley Line,Raritan Valley Line,564663.38889258,674100.703859657
123,Secaucus Junction,Hudson,40.76119,-74.07582,RAIL0168,System.Byte[],NE,STATIONS,Secaucus,"NE, NC, RV, ME, GL, MC, ML, BC, PV",YES,Northeast Corridor,"Northeast Corridor, North Jersey Coast Line, Raritan Valley Line, Morristown Line, Gladstone Branch, Montclair-Boonton Line, Main Line, Bergen County Line, Pascack Valley Line",609623.41248941,702480.934828736
124,East Orange,Essex,40.76104,-74.21096,37,System.Byte[],ME,STATIONS,East Orange,"ME, GL",YES,Morristown Line,"Morristown Line, Gladstone Branch",572189.031977747,702272.223960072
125,Gillette,Morris,40.67826,-74.46829,48,System.Byte[],GL,STATIONS,Long Hill Twp,GL,NO,Gladstone Branch,Gladstone Branch,500919.146958746,671987.421668902
126,Spring Lake,Monmouth,40.15057,-74.03546,142,System.Byte[],NC,STATIONS,Spring Lake,NC,NO,North Jersey Coast Line,North Jersey Coast Line,621972.99572983,480099.145013154
127,Belmar,Monmouth,40.18059,-74.0273,15,System.Byte[],NC,STATIONS,Belmar,NC,NO,North Jersey Coast Line,North Jersey Coast Line,624196.750796746,491047.220885992
128,Elberon,Monmouth,40.26532,-73.99759,40,System.Byte[],NC,STATIONS,Long Branch,NC,YES,North Jersey Coast Line,North Jersey Coast Line,632321.851672497,521958.782750405
129,Woodbridge,Middlesex,40.55661,-74.27775,159,System.Byte[],NC,STATIONS,Woodbridge Twp,NC,YES,North Jersey Coast Line,North Jersey Coast Line,553877.553508911,627747.70043724
130,Linden,Union,40.62949,-74.25177,70,System.Byte[],NE,STATIONS,Linden,"NE, NC",YES,Northeast Corridor,"Northeast Corridor Line, North Jersey Coast Line",561020.596965577,654315.616461404
131,Newark Airport,Essex,40.70442,-74.19071,RAIL0164,System.Byte[],NE,STATIONS,Newark,"NE, NC",YES,Northeast Corridor,"Northeast Corridor Line, North Jersey Coast Line",577870.149224412,681664.838993825
132,Stirling,Morris,40.67458,-74.49378,144,System.Byte[],GL,STATIONS,Long Hill Twp,GL,NO,Gladstone Branch,Gladstone Branch,493850.70669933,670643.972584158
133,Denville,Morris,40.8839,-74.48151,34,System.Byte[],ME,STATIONS,Denville Twp,"ME, MC",YES,Morristown Line,"Morristown Line, Montclair-Boonton Line",497237.084112912,746899.173747987
134,Mount Tabor,Morris,40.87587,-74.48193,95,System.Byte[],ME,STATIONS,Denville Twp,ME,NO,Morristown Line,Morristown Line,497122.832372911,743974.917129323
135,Waldwick,Bergen,41.0128,-74.12342,152,System.Byte[],ML,STATIONS,Waldwick,"ML, BC",NO,Main Line,"Main Line, Bergen County Line",596043.409137663,794082.551165819
136,Glen Rock-Boro Hall,Bergen,40.96133,-74.12929,51,System.Byte[],BC,STATIONS,Glen Rock,BC,YES,Bergen County Line,Bergen County Line,594502.587088078,775325.972209238
137,Garfield,Bergen,40.86667,-74.10556,46,System.Byte[],BC,STATIONS,Garfield,BC,NO,Bergen County Line,Bergen County Line,601212.067107413,740868.78128124
138,Montvale,Bergen,41.04088,-74.02915,91,System.Byte[],PV,STATIONS,Montvale,PV,YES,Pascack Valley Line,Pascack Valley Line,622002.841470663,804440.692194909
139,Lyons,Somerset,40.68488,-74.5495,76,System.Byte[],GL,STATIONS,Bernards Twp,GL,YES,Gladstone Branch,Gladstone Branch,478398.156239662,674400.316121325
140,Fanwood,Union,40.64092,-74.38522,44,System.Byte[],RV,STATIONS,Fanwood,RV,NO,Raritan Valley Line,Raritan Valley Line,523975.55294558,658404.935382485
141,Murray Hill,Union,40.69503,-74.40322,100,System.Byte[],GL,STATIONS,New Providence,GL,NO,Gladstone Branch,Gladstone Branch,518959.457662828,678108.993743323
142,Bloomfield,Essex,40.79271,-74.20006,19,System.Byte[],MC,STATIONS,Bloomfield Twp,MC,NO,Montclair-Boonton Line,Montclair-Boonton Line,575167.769786663,713820.782555819
143,Hazlet,Monmouth,40.41538,-74.19039,58,System.Byte[],NC,STATIONS,Hazlet Twp,NC,YES,North Jersey Coast Line,North Jersey Coast Line,578328.62468541,576373.766767986
144,Allenhurst,Monmouth,40.23766,-74.00676,4,System.Byte[],NC,STATIONS,Allenhurst,NC,NO,North Jersey Coast Line,North Jersey Coast Line,629819.023672912,511866.494864158
145,Dunellen,Middlesex,40.59087,-74.46304,36,System.Byte[],RV,STATIONS,Dunellen,RV,NO,Raritan Valley Line,Raritan Valley Line,502389.526563913,640151.875103906
146,Brick Church,Essex,40.76549,-74.21927,23,System.Byte[],ME,STATIONS,East Orange,"ME, GL",NO,Morristown Line,"Morristown Line, Gladstone Branch",569882.690461829,703889.18923007
147,Netcong,Morris,40.89756,-74.70726,102,System.Byte[],ME,STATIONS,Netcong,"ME, MC",NO,Morristown Line,"Morristown Line, Montclair-Boonton Line",434830.836878411,751944.635769904
148,Morris Plains,Morris,40.82872,-74.4782,92,System.Byte[],ME,STATIONS,Morris Plains,ME,NO,Morristown Line,Morristown Line,498157.514686745,726797.960997738
149,Morristown,Morris,40.79722,-74.47416,93,System.Byte[],ME,STATIONS,Morristown,ME,YES,Morristown Line,Morristown Line,499279.906470828,715322.554158568
150,Boonton,Morris,40.90338,-74.40773,20,System.Byte[],MC,STATIONS,Boonton,MC,YES,Montclair-Boonton Line,Montclair-Boonton Line,517629.099759247,754011.669693574
151,Egg Harbor City,Atlantic,39.52655,-74.64815,39,System.Byte[],AC,STATIONS,Egg Harbor City,AC,YES,Atlantic City Line,Atlantic City Line,450336.674304996,252501.342663735
152,Ridgewood,Bergen,40.98067,-74.12057,132,System.Byte[],ML,STATIONS,Ridgewood,"ML, BC",NO,Main Line,"Main Line, Bergen County Line",596881.215860996,782382.595563158
153,Clifton,Passaic,40.86799,-74.15317,29,System.Byte[],ML,STATIONS,Clifton,ML,NO,Main Line,Main Line,588042.170218911,741293.317833737
154,Delawanna,Passaic,40.83137,-74.13126,33,System.Byte[],ML,STATIONS,Clifton,ML,NO,Main Line,Main Line,594159.255097579,727976.677144237
